index	group	pruned_taxa	pruned_tree_length	shrunk_taxa	shrunk_taxa_removed	shrunk_tree_length	Pruned-shrunk_tree_length_diff	pd1000_tree_length	uncon	semicon	fullcon	existing
112	p__Desantisbacteria	3										
113	p__JABDJQ01	3										
114	p__Mcinerneyibacteriota	3										
115	p__Thermodesulfobiota	3										
116	p__UBP15	3										
117	p__UBP18	3										
118	p__UBP7	3										
119	p__VGIX01	3										
120	p__Wallbacteria	3										
121	p__4484-113	2										
122	p__4572-55	2										
123	p__Aureabacteria	2										
124	p__B130-G9	2										
125	p__CG2-30-53-67	2										
126	p__DRYD01	2										
127	p__FEN-1099	2										
128	p__HKB111	2										
129	p__JABMQX01	2										
130	p__JACIXR01	2										
131	p__JACPQY01	2										
132	p__JACPWU01	2										
133	p__JACRDZ01	2										
134	p__JAFGBW01	2										
135	p__Lindowbacteria	2										
136	p__Nitrospinota_B	2										
137	p__NPL-UPA2	2										
138	p__PUNC01	2										
139	p__SM23-31	2										
140	p__T1Sed10-126	2										
141	p__TA06	2										
142	p__UBA2233	2										
143	p__UBA6266	2										
144	p__UBA8481	2										
145	p__ARS69	1										
146	p__BS750m-G25	1										
147	p__BS750m-G34	1										
148	p__CG2-30-70-394	1										
149	p__GCA-001730085	1										
150	p__Gemmatimonadota_A	1										
151	p__J088	1										
152	p__JACPSX01	1										
153	p__JACPUC01	1										
154	p__JACQOV01	1										
155	p__JADJOY01	1										
156	p__JAFGND01	1										
157	p__JAFGOL01	1										
158	p__JAGOBX01	1										
159	p__JAGOEH01	1										
160	p__JAHJDO01	1										
161	p__Muirbacteria	1										
162	p__RUG730	1										
163	p__SLNR01	1										
164	p__SpSt-318	1										
165	p__T1SED10-198M	1										
166	p__TA06_A	1										
167	p__UBA1439	1										
168	p__UBP13	1										
169	p__UBP4	1										
